MSA,Saudi,lang
" في يومٍ مشمسٍ، قرر أحمد أن يذهب في رحلة بحرية، فتوجه إلى الميناء وسأل الصياد: ""هل يمكن أن أؤجر قارب ليوم؟"" وافق الصياد وأعطاه مفاتيح القارب الصغير. استمتع أحمد بيومه مبحراً بين الأمواج، وعاد مع غروب الشمس وقلبه مليء بالسلام. "," في يوم مشرق، أحمد قرر يروح لرحلة بحرية، راح للميناء وسأل الصياد: ""أقدر أستأجر قارب ليوم؟"" الصياد وافق وأعطاه مفاتيح القارب الصغير. أحمد استمتع بيومه يمخر في البحر، ورجع وقت المغرب وهو راضي وقلبه حافل بالطمأنينة. ",Saudi
" عند أي نافذة يمكن أن أقوم بعمل الحجز؟ قالت المرأة بحيرة وهي تقف في الطابور الطويل. رد عليها الموظف بابتسامة، ""النافذة رقم خمسة يمكنك من خلالها إتمام حجزك."" وعندما وصلت إلى النافذة المحددة، وجدت أن الموظف كان صديقا قديما لها. فرحت كثيراً باللقاء المفاجئ وأنجزت حجزها بسهولة ويسر. "," وين الشباك اللي أقدر أسوي فيه الحجز؟ سألت الحرمة وهي حايرة واقفة في الطابور الطويل. رد عليها الموظف وهو يبتسم، ""الشباك رقم خمسة تقدرين تسوين حجزك منه."" ويوم وصلت للشباك اللي دلها عليه، اكتشفت أن الموظف كان صديق قديم لها. فرحت مرة وسوت الحجز بكل يسر وسهولة. ",Saudi
" وجد علي صندوقاً قديماً في العلية. تساءل بفضول ""ما هذا؟"". عند فتحه، اكتشف مجموعة من الرسائل القديمة. كانت الرسائل مليئة بقصص الأجداد ومغامراتهم. "," علي وجد صندوق قديم فوق بالمظلة. سأل بفضول ""وش هذا؟"". يوم فتحه، اكتشف مجموعة من الخطابات القديمة. الخطابات كانت مليانة بقصص الأجداد ومغامراتهم. ",Saudi
" في يوم مشمس، سأل رجل عابر امرأة في الشارع، ""هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا؟"" فأجابته السيدة بابتسامة وأشارت إلى طريق مزدحم يؤدي إلى المكان المطلوب. وبينما كان يسير، أخذ يتأمل العمارات العالية والشوارع النظيفة. وصل الرجل في النهاية إلى الأوبرا، شاكرًا تلك السيدة في قلبه على مساعدتها. "," في يوم مشمس، سأل رجل وحدة في الشارع، ""تقدرين تقولين لي كيف أوصل للأوبرا؟"" ردت عليه الحرمة بابتسامة ودلته على طريق مزدحم يودي للمكان المطلوب. وهو ماشي، كان يتأمل العماير الطويلة والشوارع النظيفة. وصل الرجال للأوبرا في النهاية، شاكرًا الحرمة اللي ساعدته في قلبه. ",Saudi
 في الليلة الماضية، كان خالد مخموراً بدرجة كبيرة. تعثر في طريقه إلى المنزل وأسقط مفاتيحه. في الصباح، استيقظ بصداع شديد ولا يتذكر ما حدث. شعر بالندم وقرر ألا يشرب الكحول مجدداً. , البارحة، كان خالد مسكر لدرجة كبيرة. وهو راجع للبيت، تعثر وطاحت مفاتيحه. صبح يوم جديد وهو يشعر بصداع قوي وما يذكر وش صار. ندم وقرر ما يعود يشرب العرق. ,Saudi
" في يوم مشمس، ذهب خالد إلى المتحف الوطني. وجد على الباب لافتة تقول ""من فضلك اتبع التعليمات الصادرة من موظفينا"". داخل المتحف، التقى بمرشد ذكي أخبره بتاريخ القطع الأثرية. استمتع خالد بيومه وعاد إلى منزله مليئًا بالمعرفة والذكريات الجميلة. "," في يوم مشمس، خالد راح للمتحف الوطني. شاف عند الباب لوحة مكتوب فيها ""الرجاء اتباع التعليمات اللي موظفينا يعطونها"". داخل المتحف، خالد قابل مرشد ذكي شرح له تاريخ القطع الأثرية. استانس خالد بيومه ورجع لبيته مليان بالمعرفة والذكريات الزينة. ",Saudi
 في يوم من الأيام، سأل رجل عابر السبيل عن محل متعدد الأقسام بالقرب من المنطقة. فأشار له المارة إلى متجر كبير خلف الساحة العامة. وعندما وصل، وجد كل ما يحتاجه من مستلزمات. شعر بالسعادة لأنه وجد مكاناً يلبي كافة احتياجاته. , في يوم، واحد سأل عن هايبر ماركت قريب من هنا. الناس دلوه على محل كبير ورا الساحة. يوم وصل، لقى كل اللي يحتاجه. فرح واجد لما لقى مكان يوفر له كل احتياجاته. ,Saudi
 املأ خزان الوقود من فضلك ؛ فالطريق طويل أمامك. وعندما أكملت المهمة، وجدت نفسي في قلب الصحراء. بلا أنيس سوى النجوم، أدركت قيمة الرفيق. ومع بزوغ الفجر، بدأت رحلة البحث عن واحة الأحلام. , عبّي تانكي البنزين لو سمحت؛ الطريق طويلة قدامك. ويوم خلصت المهمة، لقيت نفسي في قلب الصحراء. ماعندي أحد معي غير النجوم، عرفت قيمة الصديق. ومع طلوع الفجر، بديت رحلتي أدور على واحة الأحلام. ,Saudi
 في أحد الفنادق القديمة، سأل مسافر عن تكلفة الإقامة. هل يوجد غرفة بسعر أرخص ؟ فأجابه البواب بأن هناك غرفة بسعر معقول لكنها بدون نافذة. وافق المسافر مرغماً وقضى ليلة هادئة في الغرفة الصغيرة. , في واحد من الفنادق القديمة، سأل مسافر عن قيمة الإقامة. فيه غرفة بسعر أقل؟ رد عليه البواب وقال فيه غرفة بسعر مناسب بس بدون شباك. المسافر وافق مجبر وقضى ليلة هانئة في الغرفة الصغيرة. ,Saudi
 أفضل سيارة بها نظام إلي لنقل الحركة، وهذا ما جعل أحمد يقرر شراءها. ,Egyptian: أحمد اشترى عربية فيها نظام إلي للحركة عشان كده كان بيفضلها. ,Saudi
 سأقيم في مسكن الطلبة الخاص بجامعة هارفارد. سأستغل هذه الفرصة لأتعرف على ثقافات جديدة وأصدقاء من مختلف البلدان. ستكون الدراسة صعبة لكني مستعد للتحدي. وأخيرًا، أتمنى أن تساهم هذه التجربة في تحقيق أهدافي المستقبلية. , بأسكن في مسكن الطلبة حق جامعة هارفارد. بأستفيد من الفرصة هذي عشان أتعرف على ثقافات جديدة وأصدقاء من دول مختلفة. الدراسة راح تكون صعبة لكن أنا مستعد للتحدي. وآخر شي، أتمنى هالتجربة تساعدني في تحقيق أهدافي المستقبلية. ,Saudi
" في الصباح، استفسر أحمد عن سعر الصرف قائلاً ""ما هو سعر الصرف اليوم؟"" فأجابه الصراف بأن العملة قد ارتفعت قيمتها. شعر أحمد بالسعادة لأنه كان ينوي تحويل مبلغ كبير. وبعد إتمام التحويل، خرج مبتسماً من مكتب الصرافة. "," الصباح، أحمد سأل الصراف ""كم سعر الصرف اليوم؟"" الصراف قال له إن العملة ارتفعت قيمتها. أحمد استانس لأنه كان ناوي يحول مبلغ وقدره. ويوم خلص التحويل، طلع مبتسم من مكتب الصرافة. ",Saudi
 كان يوسف يعاني من الربو منذ الطفولة، وكانت نوبات الأزمة تهاجمه بشكل مفاجئ. في يوم من الأيام، تعرض لنوبة شديدة أثناء تواجده في المدرسة. استدعى المعلمون الإسعاف، وتم نقله إلى المستشفى. منذ ذلك الحين، حرص يوسف على حمل بخاخ الربو معه أينما ذهب. , يوسف كان يشتكي من الربو من يوم كان صغير، والنوبات كانت تجيه بغتة. في يوم من الأيام، جته نوبة قوية وهو في المدرسة. الأستاذة استدعوا الإسعاف، ونقلوه للمستشفى. من ذاك اليوم، ويوسف دايمًا ياخذ معه البخاخ حق الربو وين ما يروح. ,Saudi
 معي حوالي ثلاثة آلاف دولاراً، فقررت أن أستثمرها في مشروع صغير. بدأت بمحل لبيع الحلويات في الحي. سرعان ما اشتهر المحل بجودة منتجاته. وبعد عام، تمكنت من فتح فرع ثاني. , عندي حوالي ثلاثة آلاف دولار، قررت أستثمرها بمشروع صغير. فتحت محل حلويات بالحي. المحل صار مشهور بجودة منتجاته. وبعد سنة، قدرت أفتح فرع ثاني. ,Saudi
" في مطعم راقٍ، جلس أمير يتأمل القائمة بشغف. حين اقتربت النادلة، سألته عن اختياره للطعام. أجاب أمير بحيرة: ""حسناً، سيدي. فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم، أيهما تحب؟"" بتفكير عميق وابتسامة، اختار أمير الأرز بالتوابل واللحم متخيلاً النكهات الغنية التي ستداعب حاسة التذوق لديه. "," في مطعم فاخر، أمير كان جالس يطالع القائمة بحماس. يوم اقتربت النادلة، سألته وش يحب يطلب. أمير رد محتار: ""طيب، يا سيدي. جايبتلي خيارين، بطاطس مقلي أو رز بالبهارات واللحم، أيش تفضل؟"" بعد شوي تفكير وابتسامة، اختار أمير الرز بالبهارات واللحم وهو يتخيل الطعم الغني اللي راح يستمتع فيه. ",Saudi
" ذهب أحمد في رحلة إلى مدينة غريبة وتاه عن طريقه. سأل رجلاً في الشارع: ""كيف أصل إلى ذلك المكان؟"" فأشار الرجل إلى الطريق الصحيح بلطف. وأخيرًا، وصل أحمد إلى وجهته بفضل المساعدة التي حصل عليها. "," راح أحمد في رحلة لمدينة ما يعرفها وضيع الطريق. سأل واحد في الشارع: ""كيف أوصل لذاك المكان؟"" والرجال دله على الطريق الصح بكل أخلاق. وآخر شي، وصل أحمد للمكان اللي كان يبغى يروحله شاكرًا للمساعدة اللي لقاها. ",Saudi
 في يوم من الأيام، وجد الصياد قنينة عتيقة على شاطئ البحر. عندما فتحها، خرج منها جني وعده بثلاث أمنيات. فطلب الصياد السلامة لعائلته، وشباكًا لا تتمزق، وسفينة تبحر بلا توقف. ومنذ ذلك اليوم، عمّ الرخاء في حياة الصياد وأصبح مشهورًا بين الناس. , في يوم من الأيام، لقى الصياد قارورة قديمة على شاطئ البحر. يوم فتحها، طلع له جني وعده بثلاث أمنيات. الصياد طلب السلامة لعائلته، وشباك ما تتقطع، وسفينة تبحر بدون توقف. ومن ذاك اليوم، عاش الصياد في رخاء وصار معروف عند الناس. ,Saudi
 كان هناك رجل يزور البحر كل يوم. في يوم من الأيام، وجد زجاجة قديمة مغلقة تحتوي على رسالة. قرأ الرسالة واكتشف أنها خريطة كنز. بحث عن الكنز ثلاث مرات حتى وجده. , فيه رجال كل يوم يروح البحر. في يوم من الأيام، لقى قنينة قديمة فيها رسالة. يوم قرا الرسالة، اكتشف إنها خريطة كنز. دور على الكنز ثلاث مرات إلى أن لقاه. ,Saudi
" كان علي يبحث عن طوابع ليرسل رسالة. سأل أحد المارة: ""أي نافذة تبيع الطوابع؟"" فأشار الرجل إلى النافذة الثالثة. شكره علي واشترى الطوابع التي يحتاجها بسرعة. "," علي كان يبغى يشتري طوابع عشان يرسل رسالة. سأل واحد مرّ: ""أي شباك يبيع طوابع؟"" الرجال دله على الشباك الثالث. علي شكره واشترى الطوابع اللي يبغاها بالسرعة. ",Saudi
 بعد أن هاجمني، هرب في شاحنة بيضاء. قمت بإبلاغ الشرطة فوراً وبدأت في وصف الشاحنة والمهاجم. بحثت الشرطة في كل مكان وتمكنوا من العثور على الشاحنة متوقفة بالقرب من محطة الوقود. تم القبض على الجاني واستعدتُ أغراضي التي سُرقت. , بعد ما هجم علي، هرب بشاحنة بيضاء. دقيت على الشرطة على طول ووصفت لهم الشاحنة والسارق. الشرطة دوروا في كل مكان وأخيرًا لقوا الشاحنة واقفة عند محطة البنزين. قبضوا على الجاني ورجعت أغراضي اللي انسرقت. ,Saudi
" كان أحمد ينوي شراء هدية لأمه. حين وصل إلى المتجر، قدم له البائع قسيمة خصم. قال البائع ""حسنًا، من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار"". شعر أحمد بسعادة غامرة لأنه سيوفر المال ويشتري هدية مميزة لأمه. "," أحمد كان يبغى يشتري هدية لأمه. يوم وصل المحل، البائع عطاه قسيمة تخفيض. قال له البائع ""طيب، تكفى خلك ماسك القسيمة هذي وأرني إياها لما تختار"". حس أحمد بفرحة كبيرة لأنه بيوفر فلوس ويشتري هدية مميزة لأمه. ",Saudi
" كان يحسب أن السوق بعيد، فقرر أن يستقل الحافلة. وعندما وصل، رأى الشيء الذي طالما رغب في شرائه. فكر في الأمر قليلاً وقال لنفسه: ""كنت سأشتري هذا إن كنت في مكانك"". وبلا تردد، أخرج محفظته واشترى الغرض مبتسماً. "," كان يظن إن السوق بعيد، فقرر يركب الباص. ويوم وصل، شاف الشيء اللي كان يبغى يشتريه من زمان. فكر شوي وقال لنفسه: ""لو كنت مكانك كان شريته"". وبدون تأخير، طلع محفظته واشترى الغرض وهو مبتسم. ",Saudi
 كان لدى علي فاتورة يجب أن يدفعها بقيمة مائتي دولار. تساءل إن كان يجب عليه دفع المبلغ نقدًا فوريًا أم عبر البطاقات الائتمانية. قرر في النهاية استخدام بطاقته الائتمانية لجمع نقاط المكافآت. بعد الدفع، شعر بالراحة لأنه أدار أمواله بحكمة. , عند علي فاتورة لازم يسددها بميتين ريال. كان يفكر يدفعها كاش الحين ولا بالبطاقة الائتمانية. قرر في الأخير يستخدم بطاقته الائتمانية عشان يكسب النقاط. بعد ما سدد، حس بالراحة لأنه تصرف بذكاء في أمواله. ,Saudi
" كان البحار قديماً يسأل: ""كم من الوقت تستغرق السفينة لعبور هذا المحيط؟"" وكان الجواب دائماً محاطاً بالغموض. في إحدى الرحلات، قرر أن يقيس الوقت بنفسه. أبحر لأيام وليالٍ حتى وصل إلى الشاطئ الآخر. وأخيراً، استطاع أن يخبر الناس أن الرحلة استغرقت ثلاثين يوماً بالضبط. "," البحار زمان كان يسأل: ""كم ياخذ الوقت السفينة عشان تقطع هالمحيط؟"" والجواب دايماً كان ما يجي واضح. في وحدة من الرحلات, قرر يعد الوقت بنفسه. سافر أيام وليالي لين وصل للشاطئ الثاني. وأخيراً، قدر يقول للناس إن الرحلة استغرقت ثلاثين يوم بالضبط. ",Saudi
" في يوم من الأيام، سأل مريض طبيبه: ""هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء؟"" فأجابه الطبيب بأنه يجب عليه الابتعاد عن الأطعمة الدهنية والحارة. وببداية فترة العلاج، شعر المريض بصعوبة في التأقلم مع النظام الغذائي الجديد. ولكن مع مرور الوقت، تحسنت صحته بشكل ملحوظ، وشعر بالامتنان لنصيحة طبيبه. "," في يوم، واحد سأل دكتوره: ""هل لازم أتجنب بعض الأنواع من الأكل وأنا آخذ هالدوا؟"" الدكتور أجابه إنه يبعد عن الأكل اللي فيه دهون والحراق. في بداية العلاج، الرجال كان يشوف صعوبة في التأقلم مع الأكل الجديد. لكن مع مرور الوقت، صحته تحسنت واجد وصار شاكر لنصائح دكتوره. ",Saudi
 في يوم مشمس، دخل رجل إلى محل الأحذية متسائلاً عن أحذية حريمي عند أصابع القدم. البائع، بابتسامة عريضة، أومأ إلى الركن حيث تتلألأ تشكيلة واسعة من الصنادل الأنيقة. الرجل اختار زوجاً لزوجته بعناية فائقة، متأملاً في تفاصيل التصميم الرقيقة. وعندما عاد إلى المنزل، قدم الهدية لزوجته التي ارتسمت على وجهها ابتسامة الرضا والسعادة. , في يوم مشمس، دخل رجل محل أحذية وسأل عن صنادل نسائية تكون مفتوحة من عند الأصابع. البائع ابتسم ودله على مكان فيه تشكيلة كبيرة من الصنادل الأنيقة. الرجل اختار واحد لزوجته بعناية، وتمعن في الزخارف الدقيقة اللي عليها. ولما رجع البيت، قدم الهدية لزوجته اللي فرحت وابتسمت من القلب. ,Saudi
" في أحد الأيام، قرر محمد السفر عبر الحدود لزيارة أقاربه. قبل الرحلة، سأل صديقه: ""هل ستواجهني أية صعوبات في الجمارك؟"" صديقه أكد له أنه إذا كانت أوراقه مكتملة فلن يواجه أي مشاكل. وعندما وصل محمد إلى الجمارك، مرّ بسهولة بعد أن قدّم جميع الوثائق المطلوبة. "," في يوم، محمد قرر يسافر للخارج عشان يزور أهله. قبل السفر، سأل صاحبه: ""بتواجهني صعوبات في الجمارك؟"" صاحبه قاله إذا كانت الأوراق كاملة ما راح يصير أي مشاكل. ويوم وصل محمد للجمارك، مر بسهولة بعد ما قدم كل الأوراق المطلوبة. ",Saudi
 في إحدى الحانات القديمة، طلب رجل من النادل بعض النبيذ الأحمر. وبينما هو يتذوق الرحيق الأحمر، دخلت امرأة ذات ملامح جميلة. نظر إليها مليًا وابتسم، فقد كانت صديقته القديمة التي لم يرها منذ سنوات. , في واحد من البارات القديمة، طلب رجل من الجرسون شوي من النبيذ الأحمر. وهو يتلذذ بالخمر، دخلت وحدة جميلة جدًا. شافها زين وابتسم، لأنها كانت رفيقته القديمة اللي ما شافها من سنين. ,Saudi
 أخبرني عندما نصل إلى المتحف. وعندما وصلنا، كان المتحف مغلقًا بسبب التجديدات. شعرت بخيبة أمل كبيرة، ولكن صديقي اقترح أن نتجول في الحديقة بدلاً من ذلك. في الحديقة، وجدنا معرضًا فنيًا مفتوحًا كان يعرض لوحات نادرة. ," Qul li mta nasil el-mathaf. Lamma wasalna, el-mathaf kan moghlaq b'sabab tasweed. Hesst bekhayb-ah kebira, lakin rafiqi qal yallah natawalka fel hadeeqa badal ma nistanna. Fel hadeeqa, laqaina ma'rad fanni mftouh kan y3ared lohaf nadira. ",Saudi
" في أحد الأيام، سأل محمود السائق: ""هل يذهب هذا الأتوبيس إلى فندق الشيراتون؟"" فأجابه السائق بابتسامة وقال: ""نعم، اصعد وتفضل بالجلوس."" خلال الرحلة، تعرف محمود على مسافرين من مختلف الجنسيات. وبعد وصوله، شكر السائق وتمنى له يومًا سعيدًا. "," في يوم، محمود سأل السواق: ""هل الباص هذا يروح لفندق الشيراتون؟"" السواق ابتسم وقال: ""إيه، تفضل اطلع واجلس."" في الطريق، محمود تعرف على ناس من جنسيات مختلفة. ولما وصل، قدّم شكره للسواق وتمنى له يوم طيب. ",Saudi
" في يوم ما، تساءل خالد عن نتائج جهوده. ""إلى أي شيء وصل ذلك الأمر؟""، قال وهو ينظر إلى الأفق. بعد عام، أصبحت فكرته مشروعًا ناجحًا. وأدرك أن الصبر والمثابرة هما مفتاح النجاح. "," في يوم، خالد كان يتساءل عن نتيجة جهوده. ""وش وصل له هالأمر؟""، قال وهو يناظر الأفق. بعد سنة، صارت فكرته مشروع ناجح. وعرف إن الصبر والمثابرة هي أساس النجاح. ",Saudi
 كان الجو حارًا ذلك اليوم، وشعرت بالضيق في الغرفة. إنه ساخن بدرجة بسيطة. هل يمكن أن أفتح النافذة؟ سألت وأنا أنظر إلى زملائي في الصف. وبمجرد أن فتحتها، هبت نسمة منعشة جعلتنا جميعًا نشعر بالراحة. , كان الجو حار ذاك اليوم، وأحسست بضيق في الغرفة. هو حار شوي. أقدر أفتح الشباك؟ سألت وأنا أناظر زملائي في الفصل. ويوم فتحته، دخلت نسمة باردة ريحتنا كلنا. ,Saudi
" في يوم من الأيام، كان هناك رجل يملك دشاً واحداً في بيته. دائماً ما كان يقول لأولاده ""فقط دش يكفي"". ولكن في أحد الأيام، تعطل الدش وأصبح الجميع في حيرة من أمرهم. في النهاية، اضطروا إلى الاستحمام بدلو الماء حتى يتم إصلاحه. "," في يوم من الأيام، كان فيه رجال عنده دش واحد بيته. دوم كان يقول لعياله ""دش واحد يكفي"". بس في يوم، الدش خرب والكل صاروا في حيرة. آخر شيء، اضطروا يستحموا بالسطل لين يتصلح. ",Saudi
 عيني محمرة قليلا لأنني قضيت ساعات طويلة أمام الكمبيوتر. شعرت بالتعب والإرهاق بعد يوم عمل شاق. قررت أن أخذ استراحة وأذهب للتنزه في الحديقة. هناك، التقيت بصديق قديم وتبادلنا أطراف الحديث. , عيوني صارت حمرا شوي لأني جلست ساعات طويلة قدام الكمبيوتر. حسيت بالتعب والإرهاق بعد يوم عمل طويل. قررت آخذ استراحة وأروح أتمشى في الحديقة. هناك، قابلت رفيق قديم وتسامرنا شوي. ,Saudi
 لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة. وافق النزيل على الاقتراح وشعر بالراحة في الغرفة الواسعة. في الصباح، استيقظ على صوت العصافير وأشعة الشمس الدافئة. تناول فطوره وهو يتأمل جمال الحديقة من نافذته. , لا، أقدر أقترح عليك تأخذ غرفة فيها سريرين لاستخدامك الشخصي؟ عندنا وحدة زي كذا. الضيف وافق على الاقتراح وحس براحة في الغرفة الكبيرة. الصبح، صحى على صوت الطيور ودفا الشمس. تمتع بفطوره وهو يناظر جمال الحديقة من نافذته. ,Saudi
" لم يكن لدى سامر أي خيار سوى المحاولة. قال لصديقه بتصميم: ""لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا."" وبالفعل، بدأوا في العمل معاً من أجل حل المشكلة. في النهاية، تمكنوا من تحقيق نجاح غير متوقع. "," سامر ما عنده خيار ثاني، لازم يحاول. قال لصاحبه بعزم: ""ما أقدر أضمن لك، بس راح نسوي اللي نقدر عليه."" وبالفعل، شرعوا يشتغلون مع بعض عشان يحلون المشكلة. وفي النهاية، استطاعوا يحققوا نجاح ما كان متوقع. ",Saudi
" في أحد الأيام، قررت ليلى أن تغير من مظهرها فذهبت إلى صالون التجميل. وقالت للمصفف: ""أريد تمويج متقارب لشعري، من فضلك"". بعد ساعات من العمل الدقيق، انعكس جمال شعرها المتموج في المرآة. خرجت ليلى من الصالون وهي تشعر بالتجديد والثقة بالنفس. "," في يوم من الأيام، قررت ليلى تغير شكلها وراحت للصالون. وقالت للكوافيرة: ""أبغى تمويج متقارب لشعري، لو سمحتي"". بعد ساعات من العمل الدقيق، ليلى شافت جمال شعرها المتموج في المراية. طلعت ليلى من الصالون وهي حاسة بالتجديد والثقة بنفسها. ",Saudi
 كان البحر إلى الأسفل من بعيد. وقفت ليلى تنظر إليه بشوق، فقد طال انتظارها لتلك اللحظة. أخذت نفساً عميقاً وبدأت بالهبوط نحو الشاطئ. ومع كل خطوة، زادت دقات قلبها ترقباً للموج الهادئ. , كان البحر تحت من بعيد. ليلى وقفت تناظر البحر بشوق، كانت تنتظر هاللحظة من زمان. أخذت نفس عميق وبدأت تنزل للشاطئ. ومع كل خطوة، دقات قلبها تزيد ترقباً للموج الساكن. ,Saudi
 هي تريد بيرة، فذهبت إلى البار المجاور. وجدت البار مزدحمًا للغاية. تحدثت مع النادل وطلبت بيرة خاصة. استمتعت بشربها وهي تستمع للموسيقى الحية. , هي تبغى بيرة، راحت للبار اللي جمبهم. لقت البار مزدوم حيل. كلمت الويتر وطلبت بيرة خاصة. استانست وهي تشرب وتسمع الموسيقى الحية. ,Saudi
 كان محمود يعاني من آلام شديدة في البطن، فذهب إلى الطبيب الذي أخبره أنه بحاجة إلى إجراء عملية. شعر بالقلق لكنه قرر أن يثق بالطاقم الطبي. بعد العملية، استيقظ محمود وقد زالت الآلام تمامًا. شعر بالامتنان للأطباء والممرضين الذين اعتنوا به. , محمود كان يشتكي من ألم قوي في بطنه، فراح للدكتور اللي قال له إنه يحتاج يسوي عملية. كان خايف لكن قرر يثق بالفريق الطبي. بعد العملية، صحى محمود وما فيه ألم. شعر بالشكر للأطباء والممرضات اللي اهتموا فيه. ,Saudi
" ذهب أحمد إلى السوق ليشتري بعض الطعام. وجد أن سعر البيض قد ارتفع، لكنه قرر شراء المزيد منه. عندما عاد إلى المنزل، قالت أمه بابتسامة: ""المزيد من البيض من فضلك."" فابتسم أحمد وأخرج البيض الذي اشتراه. "," راح أحمد للسوق يشتري بعض الأكل. لقى سعر البيض زاد، لكنه قرر يشتري أكثر. يوم رجع للبيت، قالت أمه وهي مبتسمة: ""أبغى المزيد من البيض، لو تكرمت."" أحمد ابتسم وطلع البيض اللي شراه. ",Saudi
" كان أحمد يريد الذهاب إلى سنترال بارك للقاء أصدقائه. سأل أحد المارة: ""أين محطة الأتوبيس المتجه إلى سنترال بارك؟"" أرشده المارة إلى المحطة الصحيحة وأخبروه أن الأتوبيس سيأتي بعد خمس دقائق. شكر أحمد المارة وانتظر الأتوبيس الذي وصل في الوقت المحدد. "," أحمد كان يبغى يروح لسنترال بارك يلتقي بأصدقائه. سأل واحد من اللي يمرون: ""وين موقف الباص اللي رايح لسنترال بارك؟"" دلوه الناس على المحطة الصحيحة وقالوا له الباص بيجي بعد خمس دقايق. شكر أحمد الناس وانتظر الباص اللي وصل في الموعد. ",Saudi
 في يوم ماطر، احتاج خالد إلى سيارة أجرة ليصل إلى مقابلة عمل مهمة. وجد سيارة أجرة بعد وقت طويل من الانتظار وتحت الأمطار الغزيرة. خلال الرحلة، شارك السائق قصصاً ملهمة عن النجاح بعد الفشل. وصل خالد إلى المقابلة في الوقت المناسب وملؤه الأمل والتفاؤل. , في يوم ممطر، خالد كان محتاج ليموزين عشان يروح لمقابلة وظيفة مهمة. لقى ليموزين بعد ما انتظر كثير تحت المطر. في الطريق، السواق حكى له قصص عن النجاح بعد الفشل. وصل خالد للمقابلة في الوقت المحدد وهو مليان أمل. ,Saudi
 ها هو مفتاحك، يا سيدي. غرفة ستة وخمسون إثنى عشر. ابتسم الرجل شاكرًا وتوجه نحو الغرفة المذكورة. بعد دقائق من السير في الأروقة الطويلة، وجد الغرفة التي تحمل الرقم المطلوب. لكن عندما فتح الباب، وجد الغرفة مختلفة تمامًا عما توقع. كانت مليئة بالزهور والبالونات، وكان أصدقاؤه ينتظرونه هناك لمفاجأته بعيد ميلاده. , هذا مفتاحك يا سيدي. الغرفة ستة وخمسون اثنا عشر. الرجال ابتسم مشكور وتوجه للغرفة اللي قيل له عنها. بعد ما مشى شوي في الممرات الطويلة، لقى الغرفة اللي تشيل الرقم اللي يبغاه. بس لما فتح الباب، لقى الغرفة مختلفة تمامًا عن اللي توقعه. كانت مليانة بالزهور والبالونات، وأصحابه كانوا ينتظرونه هناك يبغون يفاجئونه بعيد ميلاده. ,Saudi
" كان هناك شاب يملك جاكتاً أنيقاً وكان يفخر به كثيراً. في يوم من الأيام، أثناء سيره في السوق، لاحظت فتاة جميلة الجاكت وقالت ""أحب الجاكت الخاص بك"". شعر الشاب بالسعادة لأن الجاكت قد جلب له إعجاب الناس. ومنذ ذلك الحين، أصبح الجاكت الخاص به رمزاً للحظ الجيد. "," كان فيه شاب عنده جاكيت أنيق وكان معجب فيه كثير. في يوم من الأيام، وهو ماشي في السوق، لاحظت بنت جميلة الجاكيت وقالت ""أعجبني الجاكيت حقك"". الشاب حس بفرحة كبيرة لأن الجاكيت جلب له إعجاب الناس. ومن ذاك اليوم، صار الجاكيت حقه علامة للحظ الطيب. ",Saudi
 في يوم من الأيام، كان هناك شاب يعمل بجد لتحقيق حلمه. استمر في السعي خلف طموحاته رغم الصعاب التي واجهها. وبعد سنوات من العمل الشاق، أصبح أخيرًا مديرًا لشركته الخاصة. شعر بفخر عظيم لأنه لم يستسلم أبدًا. , كان فيه شاب يشتغل بجد علشان يحقق حلمه. استمر يلاحق طموحاته وهو يواجه التحديات. وبعد سنين طويلة من العمل الشاق، صار أخيرًا مدير لشركته الخاصة. حس بفخر كبير لأنه ما استسلم قط. ,Saudi
 ها نحن قد وصلنا، هذا هو فندقك. توجه الرجل إلى الاستقبال لتسجيل الدخول. وجد غرفته مريحة وذات إطلالة جميلة. استلقى على السرير مستعدًا لقضاء ليلة هادئة. , وصلنا، هذا فندقك. الرجل توجه للاستقبال عشان يسجل دخوله. لقى غرفته مريحة والمنظر جميل. انسدح على السرير جاهز يقضي ليلة هادية. ,Saudi
 بدأت المباراة في الساعة السابعة مساءً. تجمع الجمهور في المدرجات يهتفون بحماس. لعب الفريقان بمهارة عالية والنتيجة كانت متقاربة. في النهاية، فاز الفريق المضيف بفارق نقطة واحدة. , بدت المباراة الساعة السابعة مساءً. الجماهير اجتمعت في المدرجات يشجعون بحماس. الفريقين لعبوا بمهارة والنتيجة كانت حدّها قريب. في النهاية، الفريق المحلي فاز بفارق نقطة وحدة. ,Saudi
